Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Mayank Agarwal,PBKS,https://sports.ndtv.com/cricket/players/1430-mayank-agarwal-playerprofile,Batsman ,12.00,Mayank Anurag Agarwal,"February 16, 1991 Bangalore, Karnataka","31 Years, 0 Months, 28 Days",India,Right Handed,Off break,T20 Domestic,40,40,6,1375,119* v MU,3,6,130,55,40.44,142.48,19,0,0,2,6,9.1,0,51,2,1/4 v RS,0,0,25.50,5.56,27.50,6
Liam Livingstone,PBKS,https://sports.ndtv.com/cricket/players/64363-liam-stephen-livingstone-playerprofile,All-Rounder ,11.50,Liam Stephen Livingstone,"August 4, 1993 Barrow-in-Furness, Cumberland","28 Years, 7 Months, 11 Days",England,Right Handed,Leg break,T20 International,17,13,1,285,103 v PAK,1,0,14,20,23.75,158.33,8,0,1,2,12,33,0,235,12,2/15 v BAN,0,0,19.58,7.12,16.50,12
Kagiso Rabada,PBKS,https://sports.ndtv.com/cricket/players/64042-kagiso-rabada-playerprofile,Bowler ,9.25,Kagiso Rabada,"May 25, 1995 Johannesburg","26 Years, 9 Months, 22 Days",South Africa,Left Handed,Right-arm fast,T20 International,40,15,11,121,22 v AUS,0,0,11,5,30.25,116.34,12,0,4,0,40,145.1,0,1245,49,3/20 v BAN,5,0,25.40,8.57,17.77,40
Shahrukh Khan,PBKS,https://sports.ndtv.com/cricket/players/113433-shahrukh-khan-playerprofile,All-Rounder ,9.00,Masood Shahrukh Khan,"May 27, 1995 Chennai, Tamil Nadu","26 Years, 9 Months, 20 Days",India,Right Handed,Off break,T20 Domestic,37,35,3,861,86 v DD,0,6,80,40,26.90,141.14,17,0,2,2,9,18,0,163,1,1/20 v CSG,0,0,163.00,9.05,108.00,9
Shikhar Dhawan,PBKS,https://sports.ndtv.com/cricket/players/737-shikhar-dhawan-playerprofile,Batsman ,8.25,Shikhar Dhawan,"December 5, 1985 Delhi","36 Years, 3 Months, 10 Days",India,Left Handed,Off break,,68,66,3,1759,92 v WI,0,11,191,50,27.92,126.36,19,0,2,5,,,,,,,,,,,,
Jonny Bairstow,PBKS,https://sports.ndtv.com/cricket/players/1551-jonny-bairstow-playerprofile,Wicket-Keeper ,6.75,Jonathan Marc Bairstow,"September 26, 1989 Bradford, Yorkshire","32 Years, 5 Months, 19 Days",England,Right Handed,Right-arm medium,,63,57,12,1190,86* v SA,0,7,111,49,26.44,135.84,44,1,5,0,,,,,,,,,,,,
Odean Smith,PBKS,https://sports.ndtv.com/cricket/players/108548-odean-smith-playerprofile,All-Rounder ,6.00,Odean Fabian Smith,"November 1, 1996 St. Elizabeth, Jamaica","25 Years, 4 Months, 14 Days",West Indies,Right Handed,Right-arm medium,T20 International,10,5,0,53,24 v PAK,0,0,4,4,10.60,155.88,6,0,0,0,9,25,0,278,7,2/24 v PAK,0,0,39.71,11.12,21.42,9
Rahul Chahar,PBKS,https://sports.ndtv.com/cricket/players/107512-rahul-chahar-playerprofile,Bowler ,5.25,Rahul Desraj Chahar,"August 4, 1999 Bharaatpur, Rajasthan","22 Years, 7 Months, 12 Days",India,Right Handed,Leg break googly,T20 International,6,1,0,5,5 v SL,0,0,1,0,5.00,100.00,3,0,0,0,6,22,0,167,7,3/15 v SL,1,0,23.85,7.59,18.85,6
Arshdeep Singh,PBKS,https://sports.ndtv.com/cricket/players/108557-arshdeep-singh-playerprofile,Bowler ,4.00,Arshdeep Singh,"February 5, 1999 Guna, Madhya Pradesh","23 Years, 1 Months, 8 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpreet Brar,PBKS,https://sports.ndtv.com/cricket/players/110975-harpreet-brar-playerprofile,All-Rounder ,3.80,Harpreet Brar,"September 16, 1995 Moga, Punjab","26 Years, 6 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaibhav Arora,PBKS,https://sports.ndtv.com/cricket/players/113442-vaibhav-arora-playerprofile,Bowler ,2.00,Vaibhav Gopal Arora,"December 14, 1997 Himachal Pradesh","24 Years, 3 Months, 1 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raj Bawa,PBKS,https://sports.ndtv.com/cricket/players/114984-raj-angad-bawa-playerprofile,All-Rounder ,2.00,Raj Angad Bawa,"November 12, 2002 Nahan, Himachal Pradesh","19 Years, 4 Months, 3 Days",India,Left Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Ellis,PBKS,https://sports.ndtv.com/cricket/players/113454-nathan-ellis-playerprofile,Bowler ,0.75,Nathan Ellis,"September 22, 1994 Greenacre, New South Wales","27 Years, 5 Months, 23 Days",Australia,Right Handed,Right-arm fast medium,T20 International,2,1,0,1,1 v BAN,0,0,0,0,1.00,14.28,,,0,0,2,8,0,50,5,3/34 v BAN,1,0,10.00,6.25,9.60,2
Prabhsimran Singh,PBKS,https://sports.ndtv.com/cricket/players/110976-simran-singh-playerprofile,Wicket-Keeper ,0.60,Prabhsimran Singh,"August 10, 2000 ","21 Years, 7 Months, 5 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishi Dhawan,PBKS,https://sports.ndtv.com/cricket/players/1131-rishi-dhawan-playerprofile,All-Rounder ,0.55,Rishi Dhawan,"February 19, 1990 Mandi, Himachal Pradesh","32 Years, 0 Months, 24 Days",India,Right Handed,Right-arm medium fast,T20 International,1,1,1,1,1* v ZIM,0,0,0,0,,50.00,2,0,0,0,1,4,0,42,1,1/42 v ZIM,0,0,42.00,10.50,24.00,1
Bhanuka Rajapaksa,PBKS,https://sports.ndtv.com/cricket/players/43735-pramod-bhanuka-bandara-rajapaksa-playerprofile,Batsman ,0.50,Pramod Bhanuka Bandara Rajapaksa,"October 24, 1991","30 Years, 4 Months, 23 Days",Sri Lanka,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandeep Sharma,PBKS,https://sports.ndtv.com/cricket/players/1431-sandeep-sharma-playerprofile,Bowler ,0.50,Sandeep Sharma,"May 18, 1993 Patiala, Punjab","28 Years, 9 Months, 28 Days",India,Right Handed,Right-arm medium,T20 International,2,1,1,1,1* v ZIM,0,0,0,0,,100.00,,,0,0,2,7,0,73,1,1/39 v ZIM,0,0,73.00,10.42,42.00,2
Benny Howell,PBKS,https://sports.ndtv.com/cricket/players/45414-benny-alexander-cameron-howell-playerprofile,All-Rounder ,0.40,Benny Alexander Cameron Howell,"October 05, 1988","33 Years, 5 Months, 10 Days",England,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishan Porel,PBKS,https://sports.ndtv.com/cricket/players/108572-ishan-porel-playerprofile,Bowler ,0.25,Ishan Chandranath Porel,"September 5, 1998 Hooghly, Bengal","23 Years, 6 Months, 10 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prerak Mankad,PBKS,https://sports.ndtv.com/cricket/players/107510-prerak-mankad-playerprofile,All-Rounder ,0.20,Prerak Nileshkumar Mankad,"April 23, 1994 Sirohi, Saurashtra","27 Years, 10 Months, 22 Days",India,Right Handed,Right-arm medium,T20 Domestic,5,4,1,87,28* v GG,0,0,9,1,29.00,129.85,6,0,0,0,5,16,0,121,4,2/24 v GG,0,0,30.25,7.56,24.00,5
Atharva Taide,PBKS,https://sports.ndtv.com/cricket/players/110595-atharwa-taide-playerprofile,All-Rounder ,0.20,Atharva Taide,"April 26, 2000 Akola Maharashtra","21 Years, 10 Months, 19 Days",India,Left Handed,Slow left-arm orthodox,T20 Domestic,10,10,1,328,106* v ORG,1,2,38,7,36.44,129.13,6,0,1,0,4,10,0,89,2,2/30 v YLW,0,0,44.50,8.90,30.00,4
Ansh Patel,PBKS,https://sports.ndtv.com/cricket/players/113486-ansh-p-patel-playerprofile,All-Rounder ,0.20,Ansh Pradipkumar Patel,"February 19, 2002 Vadodara, Gujarat","20 Years, 0 Months, 24 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jitesh Sharma,PBKS,https://sports.ndtv.com/cricket/players/106754-jitesh-sharma-playerprofile,Wicket-Keeper ,0.20,Jitesh Mohan Sharma,"October 22, 1993 Amrawati, Maharashtra","28 Years, 4 Months, 24 Days",India,Right Handed,,,12,11,2,208,44 v GRN,0,0,15,15,23.11,157.57,9,1,1,0,,,,,,,,,,,,
Writtick Chatterjee,PBKS,https://sports.ndtv.com/cricket/players/64856-writtick-bijoy-chatterjee-playerprofile,All-Rounder ,0.20,Writtick Bijoy Chatterjee,"September 28, 1992 Jamtara, Bengal","29 Years, 5 Months, 17 Days",India,Right Handed,Off break,T20 Domestic,19,17,7,206,43 v KAC,0,0,14,7,20.60,110.75,6,0,1,1,19,61,2,359,23,3/6 v EBC,2,0,15.60,5.88,15.91,19
Baltej Singh,PBKS,https://sports.ndtv.com/cricket/players/59711-baltej-singh-dhanda-playerprofile,Bowler ,0.20,Baltej Singh Dhanda,"November 4, 1990 Ludhiana, Punjab","31 Years, 4 Months, 11 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane Williamson,SRH,https://sports.ndtv.com/cricket/players/1058-kane-williamson-playerprofile,Batsman ,14.00,Kane Stuart Williamson,"August 8, 1990 Tauranga","31 Years, 7 Months, 7 Days",New Zealand,Right Handed,Off break,T20 International,74,72,10,2021,95 v IND,0,14,202,46,32.59,123.98,34,0,4,9,12,19.4,0,164,6,2/16 v BAN,0,0,27.33,8.33,19.66,12
Nicholas Pooran,SRH,https://sports.ndtv.com/cricket/players/1720-nicolas-pooran-playerprofile,Wicket-Keeper ,10.75,Nicholas Pooran,"October 2, 1995 Trinidad","26 Years, 5 Months, 14 Days",West Indies,Left Handed,,,57,50,7,1193,70 v ENG,0,8,86,69,27.74,128.97,28,5,2,1,,,,,,,,,,,,
Washington Sundar,SRH,https://sports.ndtv.com/cricket/players/108593-washington-sundar-playerprofile,All-Rounder ,8.75,Washington Sundar,"October 5, 1999 Chennai, Tamil Nadu","22 Years, 5 Months, 11 Days",India,Left Handed,Off break,T20 International,31,11,4,47,14* v BAN,0,0,4,3,6.71,146.87,10,0,4,1,30,103.3,1,750,25,3/22 v BAN,1,0,30.00,7.24,24.84,30
Rahul Tripathi,SRH,https://sports.ndtv.com/cricket/players/12218-rahul-ajay-tripathi-playerprofile,Batsman ,8.50,Rahul Ajay Tripathi,"March 2, 1991 Ranchi, Jharkhand","31 Years, 0 Months, 14 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romario Shepherd,SRH,https://sports.ndtv.com/cricket/players/112280-romario-shepherd-playerprofile,All-Rounder ,7.75,Romario Shepherd,"November 26, 1994 Guyana","27 Years, 3 Months, 19 Days",West Indies,Right Handed,Right-arm medium fast,T20 International,17,6,3,146,44* v ENG,0,0,6,13,48.66,155.31,4,0,0,0,14,44.5,0,503,14,3/59 v ENG,1,0,35.92,11.21,19.21,14
Abhishek Sharma,SRH,https://sports.ndtv.com/cricket/players/108562-abhishek-sharma-playerprofile,All-Rounder ,6.50,Abhishek Sharma,"September 4, 2000 Amritsar, Punjab","21 Years, 6 Months, 11 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhuvneshwar Kumar,SRH,https://sports.ndtv.com/cricket/players/1250-bhuvneshwar-kumar-playerprofile,Bowler ,4.20,Bhuvneshwar Kumar Singh,"February 5, 1990 Meerut, Uttar Pradesh","32 Years, 1 Months, 7 Days",India,Right Handed,Right-arm medium,T20 International,59,13,8,57,16 v SL,0,0,0,0,11.40,75.00,10,0,3,1,59,208.5,3,1460,58,5/24 v SA,2,1,25.17,6.99,21.60,59
Marco Jansen,SRH,https://sports.ndtv.com/cricket/players/113406-marco-jansen-playerprofile,All-Rounder ,4.20,Marco Jansen,"May 1, 2000 Potchefstroom, North West, South Africa","21 Years, 10 Months, 14 Days",South Africa,Right Handed,Left-arm fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umran Malik,SRH,https://sports.ndtv.com/cricket/players/113473-umran-malik-playerprofile,Bowler ,4.00,Umran Malik,"November 22, 1999 Srinagar, Jammu & Kashmir","22 Years, 3 Months, 24 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Samad,SRH,https://sports.ndtv.com/cricket/players/113179-abdul-samad-playerprofile,Batsman ,4.00,Abdul Samad Farooq,"October 28, 2001 Kala Kot, Jammu & Kashmir","20 Years, 4 Months, 18 Days",India,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Natarajan,SRH,https://sports.ndtv.com/cricket/players/107525-t-natarajan-playerprofile,Bowler ,4.00,Thangarasu Natarajan,"May 27, 1991 Salem","30 Years, 9 Months, 20 Days",India,Left Handed,Left-arm medium,T20 International,4,0,0,,,0,0,0,0,,0.00,,,0,0,4,16,0,122,7,3/30 v AUS,1,0,17.42,7.62,13.71,4
Kartik Tyagi,SRH,https://sports.ndtv.com/cricket/players/108595-kartik-tyagi-playerprofile,Bowler ,4.00,Kartik Tyagi,"November 8, 2000 Hapur, Uttar Pradesh","21 Years, 4 Months, 7 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiden Markram,SRH,https://sports.ndtv.com/cricket/players/64634-aiden-kyle-markram-playerprofile,Batsman ,2.60,Aiden Kyle Markram,"October 4, 1994 Centurion","27 Years, 5 Months, 11 Days",South Africa,Right Handed,Off break,T20 International,20,18,3,588,70 v WI,0,6,45,28,39.20,147.00,16,0,1,0,8,18,2,134,5,3/21 v SL,1,0,26.80,7.44,21.60,8
Sean Abbott,SRH,https://sports.ndtv.com/cricket/players/106719-sean-abbott-playerprofile,Bowler ,2.40,Sean Anthony Abbott,"February 29, 1992 Windsor, New South Wales","30 Years, 0 Months, 15 Days",Australia,Right Handed,Right-arm fast medium,T20 International,7,2,1,17,12* v IND,0,0,1,1,17.00,106.25,4,0,0,0,7,18,0,150,4,2/14 v PAK,0,0,37.50,8.33,27.00,7
Glenn Phillips,SRH,https://sports.ndtv.com/cricket/players/107472-glenn-phillips-playerprofile,Wicket-Keeper ,1.50,Glenn Dominic Phillips,"December 6, 1996 East London, Eastern Cape","25 Years, 3 Months, 9 Days",New Zealand,Right Handed,Off break,T20 International,35,30,5,645,108 v WI,1,2,43,37,25.80,140.21,19,2,2,1,5,8.3,0,68,2,1/11 v BAN,0,0,34.00,8.00,25.50,5
Shreyas Gopal,SRH,https://sports.ndtv.com/cricket/players/51296-shreyas-gopal-playerprofile,Bowler ,0.75,Shreyas Gopal,"September 4, 1993 Banglaore, Karnataka","28 Years, 6 Months, 11 Days",India,Right Handed,Leg break,T20 Domestic,28,20,3,282,49* v MW,0,0,28,4,16.58,118.48,11,0,3,3,28,91,1,667,26,3/13 v MW,2,0,25.65,7.32,21.00,28
Fazalhaq Farooqi,SRH,https://sports.ndtv.com/cricket/players/112535-fazal-haque-playerprofile,Bowler ,0.50,Fazalhaq Farooqi,"September 22, 2000 Baghlan","21 Years, 5 Months, 23 Days",Afghanistan,Right Handed,Left-arm medium,T20 International,3,1,1,0,0 v ZIM,0,0,0,0,,0.00,,,1,0,3,12,0,72,6,3/18 v BAN,1,0,12.00,6.00,12.00,3
Vishnu Vinod,SRH,https://sports.ndtv.com/cricket/players/107531-vishnu-vinod-playerprofile,Wicket-Keeper ,0.50,Vishnu Vinod,"December 2, 1993 Pathanamthitta, Kerala","28 Years, 3 Months, 13 Days",India,Right Handed,,,3,3,0,42,25 v EAG,0,0,6,1,14.00,120.00,1,0,0,1,,,,,,,,,,,,
Priyam Garg,SRH,https://sports.ndtv.com/cricket/players/110579-priyam-garg-playerprofile,Batsman ,0.20,Priyam K Garg,"November 30, 2000 Meerut, Uttar Pradesh","21 Years, 3 Months, 15 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saurabh Dubey,SRH,https://sports.ndtv.com/cricket/players/113468-saurabh-dubey-playerprofile,Bowler ,0.20,Saurabh Dubey,"January 23, 1998 ","24 Years, 1 Months, 20 Days",India,Right Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagadeesha Suchith,SRH,https://sports.ndtv.com/cricket/players/106726-jagadeesha-suchith-playerprofile,Bowler ,0.20,Jagadeesha Suchith,"January 16, 1994 Mysore","28 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,T20 Domestic,42,26,9,282,54* v BB,0,1,21,12,16.58,153.26,31,0,4,2,41,147.2,3,976,57,5/20 v BT,4,1,17.12,6.62,15.50,41
Shashank Singh,SRH,https://sports.ndtv.com/cricket/players/63951-shashank-singh-playerprofile,All-Rounder ,0.20,Shashank Singh,"November 21, 1991 Bhilai","30 Years, 3 Months, 25 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravikumar Samarth,SRH,https://sports.ndtv.com/cricket/players/63978-ravikumar-samarth-playerprofile,Batsman ,0.20,Ravikumar Samarth,"January 22, 1993","29 Years, 1 Months, 21 Days",India,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanju Samson,RR,https://sports.ndtv.com/cricket/players/1701-sanju-samson-playerprofile,Wicket-Keeper ,14.00,Sanju Viswanath Samson,"November 11, 1994 Pulluvila, Vizhinjam, Trivandrum","27 Years, 4 Months, 4 Days",India,Right Handed,,,13,12,0,174,39 v SL,0,0,10,8,14.50,121.67,6,2,1,0,,,,,,,,,,,,
Prasidh Krishna,RR,https://sports.ndtv.com/cricket/players/107509-prasidh-krishna-playerprofile,Bowler ,10.00,Muralikrishna Prasidh Krishna,"February 19, 1996 Bangalore, Karnataka","26 Years, 0 Months, 25 Days",India,Right Handed,Right-arm medium fast,T20 Domestic,27,5,3,19,9 v BP,0,0,1,1,9.50,90.47,11,0,1,0,27,98,2,665,30,3/24 v BB,1,0,22.16,6.78,19.60,27
Jos Buttler,RR,https://sports.ndtv.com/cricket/players/1367-jos-buttler-playerprofile,Wicket-Keeper ,10.00,Joseph Charles Buttler,"September 8, 1990 Taunton, Somerset","31 Years, 6 Months, 7 Days",England,Right Handed,,,88,80,18,2140,101* v SL,1,15,184,90,34.51,141.16,39,10,5,3,,,,,,,,,,,,
Shimron Hetmyer,RR,https://sports.ndtv.com/cricket/players/107627-shimron-hetmyer-playerprofile,Batsman ,8.50,Shimron Odilon Hetmyer,"December 26, 1996 Cumberland, Berbice","25 Years, 2 Months, 20 Days",West Indies,Left Handed,,,42,35,4,666,81* v SL,0,3,43,32,21.48,118.71,16,0,3,3,,,,,,,,,,,,
Trent Boult,RR,https://sports.ndtv.com/cricket/players/1061-trent-boult-playerprofile,Bowler ,8.00,Trent Alexander Boult,"July 22, 1989 Rotorua","32 Years, 7 Months, 24 Days",New Zealand,Right Handed,Left-arm fast medium,T20 International,44,11,6,30,8 v ENG,0,0,2,0,6.00,75.00,16,0,3,1,44,165.3,1,1345,62,4/34 v IND,5,0,21.69,8.12,16.01,44
Devdutt Padikkal,RR,https://sports.ndtv.com/cricket/players/110591-devdutt-padikkal-playerprofile,Batsman ,7.75,Devdutt Babunu Padikkal,"July 7, 2000 Edapal, Kerala","21 Years, 8 Months, 8 Days",India,Left Handed,Off break,T20 Domestic,2,2,0,38,29 v SL,0,0,2,1,19.00,100.00,,,0,0,6,10,0,99,2,1/11 v BP,0,0,49.50,9.90,30.00,6
Yuzvendra Chahal,RR,https://sports.ndtv.com/cricket/players/1394-yuzvendra-chahal-playerprofile,Bowler ,6.50,Yuzvendra Singh Chahal,"July 23, 1990 Jind, Haryana, India","31 Years, 7 Months, 23 Days",India,Right Handed,Leg break googly,T20 International,54,4,2,5,3* v AUS,0,0,0,0,2.50,45.45,10,0,1,0,54,210.3,1,1723,68,6/25 v ENG,5,1,25.33,8.18,18.57,54
Ravichandran Ashwin,RR,https://sports.ndtv.com/cricket/players/1109-ravichandran-ashwin-playerprofile,All-Rounder ,5.00,Ravichandran Ashwin,"September 17, 1986 Chennai, Tamil Nadu","35 Years, 5 Months, 28 Days",India,Right Handed,Off break,T20 International,51,11,7,123,31* v SL,0,0,14,1,30.75,106.95,9,0,0,1,51,191,2,1298,61,4/8 v SL,4,0,21.27,6.79,18.78,51
Yashasvi Jaiswal,RR,https://sports.ndtv.com/cricket/players/112646-yashasvi-jaiswal-playerprofile,Batsman ,4.00,Yashasvi Bhupendra Kumar Jaiswal,"December 28, 2001 Suriya, Uttar Pradesh","20 Years, 2 Months, 18 Days",India,Left Handed,Leg break,T20 Domestic,7,7,0,223,75 v OMN,0,2,20,7,31.85,135.15,1,0,1,0,5,13,0,101,5,3/23 v TKMNE,1,0,20.20,7.76,15.60,5
Riyan Parag,RR,https://sports.ndtv.com/cricket/players/108566-riyan-parag-playerprofile,All-Rounder ,3.80,Riyan Parag,"November 10, 2001 Guwahati, Assam","20 Years, 4 Months, 5 Days",India,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navdeep Saini,RR,https://sports.ndtv.com/cricket/players/64853-navdeep-amarjeet-saini-playerprofile,Bowler ,2.60,Navdeep Amarjeet Saini,"November 23, 1992 Karnal, Haryana","29 Years, 3 Months, 22 Days",India,Right Handed,Right-arm fast,T20 International,11,3,3,12,11* v NZ,0,0,2,0,,109.09,3,0,1,0,9,32.5,1,235,13,3/17 v WI,2,0,18.07,7.15,15.15,9
Nathan Coulter-Nile,RR,https://sports.ndtv.com/cricket/players/1424-nathan-coulter-nile-playerprofile,Bowler ,2.00,Nathan Mitchell Coulter-Nile,"October 11, 1987 Osborne Park, Western Australia","34 Years, 5 Months, 5 Days",Australia,Right Handed,Right-arm fast,T20 International,28,15,4,150,34 v PAK,0,0,10,10,13.63,125.00,13,0,3,1,27,97,1,802,34,4/31 v ENG,3,0,23.58,8.26,17.11,27
